location,x_coord,y_coord,z_coord,orientation
PAL0152140302,69700,17100,1500,2
PAL0152140303,69700,18000,1500,2
PAL0152140501,69700,16200,3000,2
PAL0152140502,69700,17100,3000,2
PAL0152140503,69700,18000,3000,2
PAL0152140701,69700,16200,4500,2
PAL0152140702,69700,17100,4500,2
PAL0152140703,69700,18000,4500,2
PAL0152140901,69700,16200,6000,2
PAL0152140902,69700,17100,6000,2
PAL0152140903,69700,18000,6000,2
PAL0152141101,69700,16200,7500,2
PAL0152141102,69700,17100,7500,2
PAL0152141103,69700,18000,7500,2
PAL0152141301,69700,16200,9000,2
PAL0152141302,69700,17100,9000,2
PAL0152141303,69700,18000,9000,2
PAL0152141501,69700,16200,10500,2
PAL0152141502,69700,17100,10500,2
PAL0152141503,69700,18000,10500,2
PAL0152150501,65000,18900,3000,4
PAL0152150502,65000,19800,3000,4
PAL0152150503,65000,20700,3000,4
PAL0152150701,65000,18900,4500,4
PAL0152150702,65000,19800,4500,4
PAL0152150703,65000,20700,4500,4
PAL0152150901,65000,18900,6000,4
PAL0152150902,65000,19800,6000,4
PAL0152150903,65000,20700,6000,4
PAL0152151101,65000,18900,7500,4
PAL0152151102,65000,19800,7500,4
PAL0152151103,65000,20700,7500,4
PAL0152151301,65000,18900,9000,4
PAL0152151302,65000,19800,9000,4
PAL0152151303,65000,20700,9000,4
PAL0152160101,69700,18900,0,2
PAL0152160102,69700,19800,0,2
PAL0152160103,69700,20700,0,2
PAL0152160301,69700,18900,1500,2
PAL0152160302,69700,19800,1500,2
PAL0152160303,69700,20700,1500,2
PAL0152160501,69700,18900,3000,2
PAL0152160502,69700,19800,3000,2
PAL0152160503,69700,20700,3000,2
PAL0152160701,69700,18900,4500,2
PAL0152160702,69700,19800,4500,2
PAL0152160703,69700,20700,4500,2
PAL0152160901,69700,18900,6000,2
PAL0152160902,69700,19800,6000,2
PAL0152160903,69700,20700,6000,2
PAL0152161101,69700,18900,7500,2
PAL0152161102,69700,19800,7500,2
PAL0152161103,69700,20700,7500,2
PAL0152161301,69700,18900,9000,2
PAL0152161302,69700,19800,9000,2
PAL0152161303,69700,20700,9000,2
PAL0152161501,69700,18900,10500,2
PAL0152161502,69700,19800,10500,2
PAL0152161503,69700,20700,10500,2
PAL0152170501,65000,21600,3000,4
PAL0152170502,65000,22500,3000,4
PAL0152170503,65000,23400,3000,4
PAL0152170701,65000,21600,4500,4
PAL0152170702,65000,22500,4500,4
PAL0152170703,65000,23400,4500,4
PAL0152170901,65000,21600,6000,4
PAL0152170902,65000,22500,6000,4
PAL0152170903,65000,23400,6000,4
PAL0152171101,65000,21600,7500,4
PAL0152171102,65000,22500,7500,4
PAL0152171103,65000,23400,7500,4
PAL0152171301,65000,21600,9000,4
PAL0152171302,65000,22500,9000,4
PAL0152171303,65000,23400,9000,4
PAL0152180101,69700,21600,0,2
PAL0152180102,69700,22500,0,2
PAL0152180103,69700,23400,0,2
PAL0152180301,69700,21600,1500,2
PAL0152180302,69700,22500,1500,2
PAL0152180303,69700,23400,1500,2
PAL0152180501,69700,21600,3000,2
PAL0152180502,69700,22500,3000,2
PAL0152180503,69700,23400,3000,2
PAL0152180701,69700,21600,4500,2
PAL0152180702,69700,22500,4500,2
PAL0152180703,69700,23400,4500,2
PAL0152180901,69700,21600,6000,2
PAL0152180902,69700,22500,6000,2
PAL0152180903,69700,23400,6000,2
PAL0152181101,69700,21600,7500,2
PAL0152181102,69700,22500,7500,2
PAL0152181103,69700,23400,7500,2
PAL0152181301,69700,21600,9000,2
PAL0152181302,69700,22500,9000,2
PAL0152181303,69700,23400,9000,2
PAL0152181501,69700,21600,10500,2
PAL0152181502,69700,22500,10500,2
PAL0152181503,69700,23400,10500,2
PAL0152190501,65000,24200,3000,4
PAL0152190502,65000,25100,3000,4
PAL0152190503,65000,26000,3000,4
PAL0152190701,65000,24200,4500,4
PAL0152190702,65000,25100,4500,4
PAL0152190703,65000,26000,4500,4
PAL0152190901,65000,24200,6000,4
PAL0152190902,65000,25100,6000,4
PAL0152190903,65000,26000,6000,4
PAL0152191101,65000,24200,7500,4
PAL0152191102,65000,25100,7500,4
PAL0152191103,65000,26000,7500,4
PAL0152191301,65000,24200,9000,4
PAL0152191302,65000,25100,9000,4
PAL0152191303,65000,26000,9000,4
PAL0152200101,69700,24200,0,2
PAL0152200102,69700,25100,0,2
PAL0152200103,69700,26000,0,2
PAL0152200301,69700,24200,1500,2
PAL0152200302,69700,25100,1500,2
PAL0152200303,69700,26000,1500,2
PAL0152200501,69700,24200,3000,2
PAL0152200502,69700,25100,3000,2
PAL0152200503,69700,26000,3000,2
