location,task_date,task,task_count,task_quantity
BLK0640010162,"2018-05-11 00:00:00",3,2,0
BLK0640010162,"2018-05-14 00:00:00",3,3,0
BLK0640010162,"2018-05-15 00:00:00",3,1,0
BLK0640010162,"2018-05-17 00:00:00",3,7,0
BLK0640010162,"2018-05-18 00:00:00",3,3,0
BLK0640010162,"2018-05-21 00:00:00",3,4,0
BLK0640010162,"2018-05-22 00:00:00",3,4,0
BLK0640010162,"2018-05-23 00:00:00",3,3,0
BLK0640010162,"2018-05-24 00:00:00",3,4,0
BLK0640010162,"2018-05-25 00:00:00",3,3,0
BLK0640010162,"2018-05-29 00:00:00",3,2,0
BLK0640010162,"2018-05-30 00:00:00",3,10,0
BLK0640010164,"2018-03-20 00:00:00",3,8,0
BLK0640010164,"2018-03-21 00:00:00",3,3,0
BLK0640010164,"2018-03-22 00:00:00",3,2,0
BLK0640010164,"2018-03-23 00:00:00",3,7,0
BLK0640010164,"2018-03-28 00:00:00",3,5,0
BLK0640010164,"2018-03-29 00:00:00",3,3,0
BLK0640010164,"2018-04-04 00:00:00",3,5,0
BLK0640010164,"2018-04-06 00:00:00",3,3,0
BLK0640010164,"2018-04-10 00:00:00",3,1,0
BLK0640010164,"2018-04-12 00:00:00",3,1,0
BLK0640010164,"2018-04-13 00:00:00",3,4,0
BLK0640010164,"2018-04-17 00:00:00",3,1,0
BLK0640010164,"2018-04-23 00:00:00",3,2,0
BLK0640010164,"2018-04-24 00:00:00",3,2,0
BLK0640010164,"2018-05-29 00:00:00",3,1,0
BLK0640010166,"2018-02-13 00:00:00",3,1,0
BLK0640010166,"2018-06-29 00:00:00",3,1,0
BLK0640010166,"2018-07-04 00:00:00",3,1,0
BLK0640010166,"2018-07-17 00:00:00",3,1,0
BLK0640010170,"2018-01-03 00:00:00",3,2,0
BLK0640010170,"2018-01-04 00:00:00",3,1,0
BLK0640010170,"2018-06-19 00:00:00",3,1,0
BLK0640010170,"2018-06-21 00:00:00",3,1,0
BLK0640010170,"2018-07-02 00:00:00",3,1,0
BLK0640010170,"2018-07-09 00:00:00",3,1,0
BLK0640010170,"2018-07-11 00:00:00",3,1,0
BLK0640010170,"2018-07-23 00:00:00",3,1,0
BLK0640010172,"2018-01-04 00:00:00",3,1,0
BLK0640010172,"2018-02-15 00:00:00",3,4,0
BLK0640010172,"2018-02-16 00:00:00",3,3,0
BLK0640010172,"2018-02-20 00:00:00",3,14,0
BLK0640010172,"2018-02-22 00:00:00",3,1,0
BLK0640010172,"2018-02-23 00:00:00",3,4,0
BLK0640010172,"2018-02-28 00:00:00",3,2,0
BLK0640010172,"2018-03-19 00:00:00",3,2,0
BLK0640010172,"2018-03-21 00:00:00",3,1,0
BLK0640010172,"2018-03-22 00:00:00",3,1,0
BLK0640010172,"2018-03-26 00:00:00",3,2,0
BLK0640010172,"2018-03-28 00:00:00",3,1,0
BLK0640010172,"2018-04-06 00:00:00",3,1,0
BLK0640010172,"2018-04-13 00:00:00",3,2,0
BLK0640010172,"2018-04-16 00:00:00",3,1,0
BLK0640010172,"2018-04-30 00:00:00",3,1,0
BLK0640010172,"2018-05-02 00:00:00",3,1,0
BLK0640010172,"2018-05-09 00:00:00",3,1,0
BLK0640010172,"2018-06-14 00:00:00",3,2,0
BLK0640010172,"2018-06-15 00:00:00",3,2,0
BLK0640010172,"2018-06-18 00:00:00",3,1,0
BLK0700030101,"2018-04-13 00:00:00",3,1,0
BLK0700060101,"2018-01-02 00:00:00",3,24,0
BLK0700060101,"2018-01-10 00:00:00",3,2,0
BLK0700080101,"2018-01-02 00:00:00",3,11,0
BLK0700090101,"2018-01-10 00:00:00",3,3,0
BLK0990090901,"2018-01-01 00:00:00",3,2,0
BLK0990090901,"2018-01-03 00:00:00",3,9,0
BLK0990090901,"2018-01-09 00:00:00",3,1,0
BLK0990090901,"2018-01-10 00:00:00",3,5,0
BLK0990090901,"2018-01-19 00:00:00",3,1,0
BLK0990090901,"2018-01-25 00:00:00",3,3,0
BLK0990090901,"2018-01-26 00:00:00",3,1,0
BLK0990090901,"2018-01-29 00:00:00",3,1,0
BLK0990090902,"2018-01-15 00:00:00",3,21,0
BLK0990090902,"2018-01-16 00:00:00",3,16,0
BLK0990090902,"2018-01-17 00:00:00",3,1,0
BLK0990090902,"2018-01-18 00:00:00",3,1,0
BLK0990090902,"2018-01-19 00:00:00",3,6,0
BLK0990090902,"2018-01-22 00:00:00",3,2,0
BLK0990090902,"2018-01-23 00:00:00",3,6,0
BLK0990090902,"2018-01-25 00:00:00",3,1,0
BLK0990090902,"2018-01-26 00:00:00",3,5,0
BLK0990090902,"2018-01-29 00:00:00",3,2,0
BLK0990090902,"2018-01-30 00:00:00",3,6,0
BLK0990090902,"2018-01-31 00:00:00",3,1,0
BLK0990090902,"2018-02-01 00:00:00",3,8,0
BLK0990090902,"2018-02-02 00:00:00",3,24,0
BLK0990090902,"2018-02-05 00:00:00",3,14,0
